,bit_acc,bit_acc,msg_acc,msg_acc,msg_similarity,msg_similarity,baseline_bit_acc,baseline_bit_acc,baseline_msg_acc,baseline_msg_acc,baseline_msg_similarity,baseline_msg_similarity,latency,latency,noise,noise
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
noise,,,,,,,,,,,,,,,,
0.0,0.8223,0.1418,0.146,0.3531,0.3881,0.3413,0.9098,0.0824,0.323,0.4677,0.5501,0.366,0.0004,0.0007,0.0,0.0
0.05,0.8239,0.1391,0.1466,0.3537,0.3861,0.3425,0.9081,0.0839,0.3182,0.4658,0.5446,0.3672,0.0004,0.0,0.05,0.0
0.1,0.826,0.1396,0.1508,0.3579,0.3915,0.3434,0.9083,0.0831,0.3132,0.4638,0.5448,0.3636,0.0005,0.0001,0.1,0.0
0.15,0.7311,0.1463,0.0324,0.1771,0.1816,0.2721,0.7549,0.1715,0.0504,0.2188,0.2388,0.296,0.0006,0.0001,0.15,0.0
0.2,0.7332,0.1447,0.036,0.1863,0.1897,0.2773,0.7536,0.1706,0.0512,0.2204,0.2435,0.2968,0.0006,0.0002,0.2,0.0
0.25,0.6606,0.1422,0.0082,0.0902,0.081,0.1951,0.6546,0.1668,0.0074,0.0857,0.103,0.2112,0.0006,0.0002,0.25,0.0
0.3,0.665,0.1387,0.0068,0.0822,0.084,0.1958,0.653,0.1681,0.0048,0.0691,0.1056,0.2099,0.0006,0.0002,0.3,0.0
0.35,0.664,0.1387,0.007,0.0834,0.0825,0.1948,0.6534,0.169,0.008,0.0891,0.1065,0.2143,0.0006,0.0002,0.35,0.0
0.4,0.612,0.132,0.0018,0.0424,0.0409,0.1403,0.5906,0.1496,0.0014,0.0374,0.0469,0.1482,0.0006,0.0002,0.4,0.0
0.45,0.6116,0.1313,0.0006,0.0245,0.0379,0.1335,0.5881,0.1503,0.0006,0.0245,0.045,0.1441,0.0006,0.0002,0.45,0.0
0.5,0.5675,0.1235,0.0,0.0,0.0158,0.0875,0.5501,0.132,0.0002,0.0141,0.0208,0.1003,0.0006,0.0002,0.5,0.0
0.55,0.5678,0.1239,0.0002,0.0141,0.014,0.0831,0.5504,0.1318,0.0,0.0,0.0199,0.0978,0.0006,0.0002,0.55,0.0
0.6,0.5645,0.1249,0.0004,0.02,0.0138,0.0831,0.5466,0.1331,0.0,0.0,0.0181,0.0934,0.0006,0.0003,0.6,0.0
0.65,0.5351,0.1184,0.0004,0.02,0.0081,0.0647,0.5227,0.1191,0.0,0.0,0.0078,0.062,0.0006,0.0003,0.65,0.0
0.7,0.5355,0.116,0.0002,0.0141,0.0085,0.0654,0.5211,0.1191,0.0002,0.0141,0.0092,0.0679,0.0006,0.0002,0.7,0.0
0.75,0.5126,0.1115,0.0,0.0,0.0029,0.038,0.5053,0.1076,0.0,0.0,0.0039,0.044,0.0006,0.0002,0.75,0.0
0.8,0.5104,0.1087,0.0,0.0,0.004,0.0445,0.501,0.1074,0.0,0.0,0.0031,0.0393,0.0006,0.0002,0.8,0.0
0.85,0.51,0.1102,0.0,0.0,0.0026,0.036,0.5032,0.1081,0.0,0.0,0.003,0.0386,0.0007,0.0002,0.85,0.0
0.9,0.4948,0.1043,0.0,0.0,0.0014,0.0264,0.4913,0.1029,0.0,0.0,0.002,0.0316,0.0006,0.0002,0.9,0.0
0.95,0.4921,0.1045,0.0,0.0,0.0019,0.0308,0.4873,0.1025,0.0,0.0,0.0019,0.0308,0.0006,0.0002,0.95,0.0
1.0,0.4785,0.1005,0.0,0.0,0.0006,0.0173,0.4793,0.1002,0.0,0.0,0.0009,0.0212,0.0006,0.0002,1.0,0.0
