,bit_acc,bit_acc,msg_acc,msg_acc,msg_similarity,msg_similarity,baseline_bit_acc,baseline_bit_acc,baseline_msg_acc,baseline_msg_acc,baseline_msg_similarity,baseline_msg_similarity,hmm_bit_acc,hmm_bit_acc,hmm_msg_acc,hmm_msg_acc,hmm_msg_similarity,hmm_msg_similarity,fb_bit_acc,fb_bit_acc,fb_msg_acc,fb_msg_acc,fb_msg_similarity,fb_msg_similarity,med_bit_acc,med_bit_acc,med_msg_acc,med_msg_acc,med_msg_similarity,med_msg_similarity,latency,latency,noise,noise
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.9539,0.0581,0.532,0.4995,0.723,0.324,0.9185,0.0836,0.402,0.4908,0.623,0.353,0.8962,0.0899,0.322,0.4677,0.549,0.3666,0.908,0.0889,0.372,0.4838,0.588,0.3668,0.5182,0.1146,0.0,0.0,0.0,0.0,0.0005,0.0021,0.0,0.0
0.05,0.9541,0.0561,0.524,0.4999,0.719,0.3236,0.9186,0.0817,0.382,0.4864,0.621,0.3407,0.8984,0.0883,0.314,0.4646,0.555,0.356,0.8984,0.0883,0.314,0.4646,0.555,0.356,0.5194,0.1145,0.0,0.0,0.0,0.0,0.0004,0.0,0.05,0.0
0.1,0.9574,0.0586,0.576,0.4947,0.747,0.322,0.9251,0.0811,0.438,0.4966,0.654,0.3443,0.8966,0.0989,0.37,0.4833,0.562,0.3879,0.9051,0.0918,0.386,0.4873,0.586,0.378,0.5141,0.107,0.0,0.0,0.0,0.0,0.0004,0.0,0.1,0.0
0.15,0.9242,0.0723,0.33,0.4707,0.577,0.3476,0.7534,0.1877,0.072,0.2587,0.303,0.3096,0.7254,0.1711,0.05,0.2182,0.23,0.2954,0.7455,0.1719,0.054,0.2262,0.27,0.2988,0.5559,0.1147,0.0,0.0,0.019,0.0957,0.0004,0.0,0.15,0.0
0.2,0.9259,0.0711,0.33,0.4707,0.586,0.3389,0.7551,0.1891,0.05,0.2182,0.31,0.2899,0.7185,0.1546,0.028,0.1651,0.173,0.2659,0.7475,0.1716,0.036,0.1865,0.272,0.2832,0.5481,0.127,0.0,0.0,0.017,0.0907,0.0004,0.0,0.2,0.0
0.25,0.889,0.0762,0.142,0.3494,0.408,0.3298,0.6701,0.169,0.01,0.0996,0.157,0.2428,0.6238,0.1346,0.002,0.0447,0.062,0.168,0.664,0.155,0.006,0.0773,0.136,0.2294,0.5327,0.1167,0.0,0.0,0.011,0.0734,0.0004,0.0,0.25,0.0
0.3,0.8899,0.0793,0.148,0.3555,0.417,0.3299,0.6567,0.1809,0.018,0.1331,0.157,0.251,0.611,0.1424,0.006,0.0773,0.054,0.1647,0.6456,0.1623,0.004,0.0632,0.115,0.2153,0.5376,0.1181,0.0,0.0,0.01,0.0701,0.0004,0.0,0.3,0.0
0.35,0.8939,0.0788,0.16,0.367,0.432,0.3311,0.6662,0.1762,0.014,0.1176,0.142,0.2407,0.5966,0.135,0.0,0.0,0.033,0.1243,0.6491,0.1611,0.008,0.0892,0.105,0.2135,0.5428,0.115,0.0,0.0,0.009,0.0665,0.0004,0.0,0.35,0.0
0.4,0.8618,0.0781,0.066,0.2485,0.302,0.3049,0.6102,0.1622,0.002,0.0447,0.077,0.1834,0.5545,0.1246,0.0,0.0,0.014,0.0826,0.5946,0.1433,0.0,0.0,0.048,0.1474,0.5259,0.1121,0.0,0.0,0.008,0.0628,0.0004,0.0,0.4,0.0
0.45,0.8589,0.0801,0.074,0.262,0.287,0.3136,0.6079,0.1596,0.004,0.0632,0.083,0.1915,0.5395,0.1076,0.0,0.0,0.003,0.0387,0.5913,0.1437,0.0,0.0,0.059,0.1615,0.5176,0.1105,0.0,0.0,0.004,0.0446,0.0004,0.0,0.45,0.0
0.5,0.8328,0.0824,0.028,0.1651,0.197,0.2717,0.5666,0.1433,0.0,0.0,0.029,0.117,0.526,0.0983,0.0,0.0,0.0,0.0,0.5499,0.1229,0.0,0.0,0.018,0.0932,0.5052,0.1111,0.0,0.0,0.003,0.0387,0.0004,0.0,0.5,0.0
0.55,0.8306,0.0827,0.034,0.1814,0.207,0.2789,0.5714,0.1409,0.0,0.0,0.036,0.1294,0.5251,0.0977,0.0,0.0,0.0,0.0,0.5602,0.1237,0.0,0.0,0.023,0.1048,0.5071,0.1047,0.0,0.0,0.001,0.0224,0.0004,0.0,0.55,0.0
0.6,0.8338,0.0856,0.036,0.1865,0.206,0.2806,0.5781,0.1384,0.0,0.0,0.032,0.1225,0.5345,0.0957,0.0,0.0,0.0,0.0,0.5551,0.1215,0.0,0.0,0.016,0.0881,0.5094,0.1032,0.0,0.0,0.002,0.0316,0.0005,0.0001,0.6,0.0
0.65,0.8135,0.086,0.026,0.1593,0.151,0.2566,0.5515,0.1241,0.0,0.0,0.019,0.0957,0.5325,0.0896,0.0,0.0,0.0,0.0,0.5362,0.1182,0.0,0.0,0.012,0.0766,0.5001,0.097,0.0,0.0,0.0,0.0,0.0006,0.0002,0.65,0.0
0.7,0.8134,0.0833,0.016,0.1256,0.141,0.2424,0.5394,0.1176,0.0,0.0,0.008,0.0628,0.5296,0.0874,0.0,0.0,0.0,0.0,0.5236,0.1032,0.0,0.0,0.003,0.0387,0.5096,0.097,0.0,0.0,0.001,0.0224,0.0007,0.0004,0.7,0.0
0.75,0.7996,0.0832,0.01,0.0996,0.11,0.2191,0.5375,0.1134,0.0,0.0,0.008,0.0628,0.5346,0.0846,0.0,0.0,0.0,0.0,0.522,0.102,0.0,0.0,0.002,0.0316,0.502,0.0892,0.0,0.0,0.0,0.0,0.0007,0.0003,0.75,0.0
0.8,0.7989,0.0844,0.01,0.0996,0.108,0.2178,0.5385,0.1186,0.0,0.0,0.015,0.0854,0.5308,0.0841,0.0,0.0,0.0,0.0,0.5214,0.1034,0.0,0.0,0.006,0.0545,0.5009,0.0928,0.0,0.0,0.001,0.0224,0.0007,0.0003,0.8,0.0
0.85,0.8049,0.0783,0.004,0.0632,0.106,0.2094,0.5349,0.1106,0.0,0.0,0.006,0.0545,0.5325,0.0804,0.0,0.0,0.0,0.0,0.5174,0.0977,0.0,0.0,0.001,0.0224,0.5018,0.0948,0.0,0.0,0.0,0.0,0.0007,0.0003,0.85,0.0
0.9,0.7872,0.0767,0.004,0.0632,0.066,0.1752,0.5306,0.1042,0.0,0.0,0.005,0.0498,0.529,0.0807,0.0,0.0,0.0,0.0,0.5201,0.0928,0.0,0.0,0.001,0.0224,0.4995,0.0911,0.0,0.0,0.0,0.0,0.0008,0.0004,0.9,0.0
0.95,0.7911,0.0802,0.002,0.0447,0.083,0.1889,0.5306,0.1106,0.0,0.0,0.011,0.0734,0.5342,0.0818,0.0,0.0,0.0,0.0,0.52,0.0976,0.0,0.0,0.002,0.0316,0.5062,0.0896,0.0,0.0,0.0,0.0,0.0007,0.0003,0.95,0.0
1.0,0.7872,0.0785,0.004,0.0632,0.077,0.1861,0.5312,0.1083,0.0,0.0,0.007,0.0588,0.5625,0.0685,0.0,0.0,0.0,0.0,0.5625,0.0685,0.0,0.0,0.0,0.0,0.5069,0.0832,0.0,0.0,0.0,0.0,0.0007,0.0002,1.0,0.0
